 # Bead      Equil bond [nm]      Equil bend [rad]
           1  0.000000000000000E+000  0.000000000000000E+000
           2  0.000000000000000E+000  0.000000000000000E+000
           3  0.000000000000000E+000  0.000000000000000E+000
           4  0.000000000000000E+000  0.000000000000000E+000
           5  0.000000000000000E+000  0.000000000000000E+000
           6  0.000000000000000E+000  0.000000000000000E+000
           7   1.50000000000000       0.000000000000000E+000
           8   1.50000000000000        1.91986217719376     
           9   1.50000000000000        1.91986217719376     
          10   1.50000000000000        1.91986217719376     
          11   1.50000000000000        1.91986217719376     
          12   1.50000000000000        1.91986217719376     
          13   1.50000000000000        1.91986217719376     
          14   1.50000000000000        1.91986217719376     
          15   1.50000000000000        1.91986217719376     
          16   1.50000000000000        1.91986217719376     
          17   1.50000000000000        1.91986217719376     
          18   1.50000000000000        1.91986217719376     
          19   1.50000000000000        1.91986217719376     
          20   1.50000000000000        1.91986217719376     
          21   1.50000000000000        1.91986217719376     
          22   1.50000000000000        1.91986217719376     
          23   1.50000000000000        1.91986217719376     
          24   1.50000000000000        1.91986217719376     
          25   1.50000000000000        1.91986217719376     
          26   1.50000000000000        1.91986217719376     
          27   1.50000000000000        1.91986217719376     
          28  0.000000000000000E+000  0.000000000000000E+000
