feature_variant,primary_target_space,pearson_train_smoothed_oe,pearson_val_smoothed_oe,pearson_test_smoothed_oe,mse_train_smoothed_oe,mse_val_smoothed_oe,mse_test_smoothed_oe,stratum_adjusted_train_smoothed_oe,stratum_adjusted_val_smoothed_oe,stratum_adjusted_test_smoothed_oe,base_variant
epi_plus_distance_regression,smoothed_oe,0.7967272974804915,0.7958832483344713,0.7958258307752992,0.8582146107788264,0.8300591202521551,0.7885015900046517,0.5921162957493024,0.5887635633287351,0.5663354606784331,
epi_plus_distance_pairwise_regression,smoothed_oe,0.7969300440833951,0.7961994477753165,0.7960659033694826,0.8575657391021171,0.8291974902334063,0.7880699788824737,0.5928870596891785,0.5897748719056015,0.5671893882858631,
epi_plus_distance_exact_diag_calibrated_regression,smoothed_oe,0.7968844272104699,0.7962987139844069,0.7963245867963898,0.8619379774953547,0.8243467839651127,0.7789871207325925,0.5921162955924708,0.5887635631208868,0.566335460420726,epi_plus_distance_regression
epi_plus_distance_pairwise_exact_diag_calibrated_regression,smoothed_oe,0.7971794701081613,0.7967080981103216,0.7966592478855633,0.8609399320012501,0.8228853596302469,0.777855605260789,0.5928870596918853,0.589774871864846,0.5671893882408002,epi_plus_distance_pairwise_regression
