feature_variant,split,target_space,bucket,n_pairs,MSE,Pearson_R,Stratum_Adjusted_R
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_oe,1-4,1641750,0.26717869010881046,0.6261504937284323,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_oe,5-9,2033625,0.507954455577356,0.7022688300885853,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_oe,10-19,4005375,0.9608206473891306,0.7293820072392561,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_oe,20-49,11521125,1.2587162075027005,0.7076103928337755,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_oe,50-99,17551875,1.0961171732872785,0.6237222777517195,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_oe,100-199,28916250,0.8224212582315392,0.5438715969265511,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_oe,200+,37248750,0.5865479788262854,0.4682847369077194,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,overall,102918750,0.8228853595416454,0.7342307523202688,0.5897748718543098
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,1-4,1641750,0.26717868711839954,0.6380477813319607,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,5-9,2033625,0.5079544494171812,0.6992462630469652,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,10-19,4005375,0.9608206577573986,0.7185742276072723,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,20-49,11521125,1.2587162043701132,0.8145297047009391,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,50-99,17551875,1.0961171733274389,0.6237222777366079,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,100-199,28916250,0.8224212582339961,0.5438715969254122,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,val,smoothed_resid,200+,37248750,0.5865479788827819,0.46828473688749156,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,overall,88323000,4.786372431220119,0.47331340340102523,0.27750595944854173
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,1-4,1408920,1.2779589440116375,0.3263176097443083,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,5-9,1745220,2.9650257841438337,0.3706470225679402,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,10-19,3437340,5.942936757598721,0.39196746652690645,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,20-49,9887220,7.594417759713462,0.3673139294124716,
epi_plus_distance_pairwise_exact_diag_calibrated_regression,test,raw_oe,50-99,15062700,6.449887120012413,0.2994131165158797,
